tid,name,symbol,rating_level,rating_score,underlying_technology_security,token_performance,ecosystem_development,team_partners_investors,token_economics,roadmap_progress,tags
liquity-usd,Liquity USD,LUSD,BB,56.13,78.05%,39.20%,40.80%,70.07%,50.80%,55.67%,"Ethereum, DeFi, Lending, Stablecoins, Optimism, Polygon"
project-galaxy,Galxe,GAL,BB,56.09,63.80%,46.53%,25.35%,76.00%,51.33%,81.20%,"Ethereum, Web3, BNB Chain, Infrastructure"
alchemy-pay,Alchemy Pay,ACH,BB,56.08,56.25%,53.47%,49.65%,61.67%,48.33%,69.20%,"Payment, DeFi, Ethereum, BNB Chain"
defichain,DeFiChain,DFI,BB,56.03,76.90%,44.73%,42.50%,44.33%,56.27%,69.00%,"DeFi, Public Chain, Wallet, Ethereum, Governance"
axelar,Axelar,AXL,BB,56.0,81.30%,53.00%,39.35%,68.00%,46.13%,45.33%,"Cross-Chain, Infrastructure, Base"
mdexmdx,MDEX (HECO),MDX,BB,55.97,76.40%,33.13%,39.60%,53.00%,71.67%,60.67%,"DEX, DeFi, AMM, Heco, Governance"
digibyte,DigiByte,DGB,BB,55.97,64.55%,56.27%,26.60%,58.00%,70.67%,66.67%,"Fork, Public Chain, Bitcoin, PoW"
mx-token,MX Token,MX,BB,55.97,79.25%,43.67%,41.20%,50.67%,42.20%,76.00%,Exchange Token
kadena,Kadena,KDA,BB,55.93,64.25%,42.00%,38.90%,94.67%,38.00%,60.67%,"Public Chain, Layer 1, PoW, Cosmos"
aleph-zero,Aleph Zero,AZERO,BB,55.88,64.70%,34.27%,41.00%,63.00%,64.67%,69.67%,"Layer 1, Privacy, DEX, Wallet"
sei-network,Sei Network,SEI,BB,55.84,53.20%,47.60%,47.30%,57.00%,68.00%,65.67%,"Layer 1, Cosmos, DeFi"
ecash,eCASH,XEC,BB,55.82,68.40%,53.53%,47.05%,46.00%,40.00%,78.67%,"Public Chain, Traditional Industry, Mining"
unus-sed-leo,UNUS SED LEO,LEO,BB,55.61,75.00%,43.07%,42.50%,77.00%,15.00%,79.00%,"Exchange Token, Ethereum"
conflux,Conflux,CFX,BB,55.58,69.00%,52.60%,35.95%,54.00%,61.13%,62.87%,"Public Chain, Conflux, Mining"
frax-ether,Frax Ether,frxETH,BB,55.51,69.80%,38.93%,43.10%,65.40%,49.87%,65.33%,"Ethereum, DeFi, Staking, Wrapped Token, Liquid Staking Token"
dodo,DODO,DODO,BB,55.43,65.25%,58.33%,30.40%,64.67%,49.33%,69.67%,"DEX, DeFi, Ethereum, AMM, Governance"
gemini-dollar,Gemini Dollar,GUSD,BB,55.42,65.20%,43.67%,46.45%,87.67%,45.93%,43.33%,"Stablecoins, Ethereum"
perpetual-protocol,Perpetual Protocol,PERP,BB,55.4,65.80%,54.73%,38.35%,48.33%,49.73%,77.67%,"DEX, Derivatives, DeFi, Ethereum, AMM, Governance"
uma,UMA,UMA,BB,55.3,84.35%,60.80%,43.90%,37.67%,44.87%,54.33%,"DeFi, Synthetics, Oracle, Options, Derivatives"
stride,Stride,STRD,BB,55.3,77.70%,26.53%,44.05%,47.67%,63.47%,68.67%,"Cosmos, PoS, Layer 1"
gains-network,Gains Network,GNS,BB,55.17,63.60%,43.33%,39.10%,35.33%,89.53%,62.67%,"Polygon, Derivatives, DeFi, DEX, Arbitrum"
mask-network,Mask Network,MASK,BB,55.1,82.45%,60.40%,49.10%,37.33%,42.87%,51.33%,"Privacy, Social, Web3, Ethereum"
waves,Waves,WAVES,BB,55.07,64.50%,63.27%,23.15%,49.00%,56.33%,81.67%,"Public Chain, Waves, Layer 1"
truefi,TrueFi,TRU,BB,55.0,71.50%,53.60%,32.45%,64.33%,44.80%,65.33%,"Lending, DeFi, Ethereum"
aavegotchi,Aavegotchi,GHST,BB,54.95,76.65%,46.00%,45.65%,52.67%,34.27%,70.33%,"Ethereum, Game, NFT, Polygon"
kaspa,Kaspa,KAS,BB,54.89,54.15%,55.13%,38.70%,59.67%,65.67%,61.67%,"PoW, Public Chain"
covalent,Covalent,CQT,BB,54.74,67.95%,34.47%,48.95%,64.00%,47.27%,63.33%,"Ethereum, DeFi, Data, Polkadot"
flare,Flare Network,FLR,BB,54.71,56.40%,43.87%,39.95%,64.67%,71.73%,56.00%,"Public Chain, Cross-Chain, Layer 1"
telcoin,Telcoin,TEL,BB,54.66,57.25%,35.27%,39.35%,62.33%,63.33%,74.67%,"Payment, Public Chain"
status,Status,SNT,BB,54.59,81.35%,45.67%,41.35%,66.00%,53.33%,35.33%,"Web3, Privacy, Ethereum, Wallet"
biconomy,Biconomy,BICO,BB,54.49,77.10%,45.73%,38.95%,60.67%,49.60%,52.53%,"Infrastructure, Ethereum, Web3"
fasttoken,Fasttoken,FTN,BB,54.41,43.00%,57.13%,44.80%,45.33%,64.87%,78.33%,"Ethereum, Public Chain, NFT, Web3"
gitcoin,Gitcoin,GTC,BB,54.37,85.75%,49.67%,33.55%,69.40%,44.33%,40.00%,"Web3, Infrastructure, DAO, Tools, Ethereum"
energy-web-token,Energy Web Token,EWT,BB,54.34,59.50%,43.13%,54.80%,70.20%,40.87%,55.67%,"Polkadot, Traditional Industry, Public Chain"
bitget-token,Bitget Token,BGB,BB,54.29,65.55%,40.40%,51.65%,47.67%,45.60%,72.00%,"Ethereum, Exchange Token"
syscoin,Syscoin,SYS,BB,54.25,64.50%,42.27%,47.05%,47.33%,59.00%,64.33%,"Public Chain, PoW, Rollups"
huobi-token,Huobi token,HT,BB,54.17,54.00%,41.87%,32.50%,67.67%,59.27%,77.00%,"Exchange Token, Ethereum"
convex-finance,Convex Finance,CVX,B,53.99,72.15%,52.67%,46.55%,21.33%,53.67%,74.00%,"Curve, DeFi, Ethereum, Governance"
fetch-ai,Fetch.ai,FET,B,53.88,58.65%,66.67%,36.25%,51.33%,62.00%,52.67%,"Ethereum, BNB Chain, Public Chain, NFT, AI"
treasuremagic,Treasure,MAGIC,B,53.84,40.35%,55.93%,52.90%,49.33%,64.67%,64.67%,"NFT, Arbitrum, DAO, Ethereum, Game, Metaverse"
rocket-pool,Rocket Pool,RPL,B,53.57,69.55%,44.93%,44.85%,52.00%,48.33%,59.33%,"DeFi, Ethereum, Staking, Liquid Staking Derivatives (LSD)"
bancor,Bancor,BNT,B,53.4,69.95%,54.27%,27.25%,69.33%,54.47%,48.33%,"DEX, DeFi, AMM, Ethereum, Solana, Governance"
coin98,Coin98,C98,B,53.26,73.75%,53.67%,35.10%,57.07%,44.87%,54.33%,"Wallet, DeFi, Ethereum, BNB Chain, Solana"
rarible,Rarible,RARI,B,53.18,80.05%,35.47%,46.05%,54.67%,36.60%,59.67%,"Ethereum, NFT MarketPlace"
blur1,Blur,BLUR,B,53.09,45.00%,57.27%,43.00%,65.33%,54.67%,59.33%,"NFT, Marketplace, Ethereum, NFT MarketPlace"
coinex-token,CoinEx Token,CET,B,53.05,43.00%,33.73%,55.95%,59.33%,62.67%,66.00%,Exchange Token
bitcoin-cash,Bitcoin Cash,BCH,B,53.01,33.55%,57.60%,29.80%,64.00%,84.67%,62.67%,"Fork, PoW, Bitcoin, Public Chain, Heco"
swissborg,SwissBorg,BORG,B,52.95,54.00%,37.60%,47.65%,68.33%,34.20%,77.33%,"Staking, Ethereum, DeFi"
binaryx,BinaryX [OLD],BNX,B,52.85,49.85%,43.20%,52.00%,45.33%,58.00%,70.00%,"Game, BNB Chain"
looksrare,LooksRare,LOOKS,B,52.82,71.20%,48.93%,17.35%,48.00%,57.13%,80.00%,"NFT, Marketplace, Ethereum, NFT MarketPlace"
beldex,Beldex,BDX,B,52.76,53.35%,34.07%,31.75%,54.33%,72.87%,77.00%,"Privacy, Layer 1, PoS"
civic,Civic,CVC,B,52.76,62.25%,56.00%,43.80%,72.33%,33.00%,49.00%,"Privacy, Web3, Ethereum"
pax-gold,PAX Gold,PAXG,B,52.6,75.55%,40.20%,30.80%,94.67%,38.67%,35.33%,"Stablecoins, Ethereum"
aelf,aelf,ELF,B,52.54,64.10%,50.13%,36.25%,57.67%,50.00%,58.67%,"Public Chain, BNB Chain, Ethereum"
kwenta,Kwenta,KWENTA,B,52.52,61.40%,30.20%,45.70%,61.33%,49.47%,66.33%,"Optimism, DEX, Synthetics, Synthetix, Derivatives, Ethereum"
quant,Quant,QNT,B,52.51,59.45%,50.40%,20.40%,79.53%,41.33%,72.33%,"Ethereum, Privacy, Traditional Industry, Cross-Chain"
celer-network,Celer Network,CELR,B,52.36,76.65%,57.07%,28.35%,67.00%,47.67%,37.33%,"Polkadot, BNB Chain, Ethereum, Layer 1"
coti,COTI,COTI,B,52.33,58.10%,55.80%,43.70%,55.67%,43.33%,58.33%,"Payment, Ethereum, BNB Chain, DeFi, Layer 1"
whitebit-token,WhiteBIT Token,WBT,B,52.1,67.80%,36.53%,48.55%,39.33%,58.33%,58.00%,"Ethereum, Tron, Exchange Token"
radicle,Radicle,RAD,B,52.09,69.50%,46.93%,34.15%,65.33%,46.13%,50.67%,"Infrastructure, Ethereum"
rocket-pool-eth,Rocket Pool ETH,RETH,B,52.08,69.55%,36.20%,44.35%,52.00%,46.80%,60.33%,"Ethereum, Staking, DeFi, Liquid Staking Token"
nexo,Nexo,NEXO,B,52.05,59.70%,46.33%,47.30%,54.33%,57.33%,46.33%,"Lending, Cardano, Ethereum"
tellor,Tellor,TRB,B,51.97,78.55%,66.67%,22.55%,57.00%,47.00%,41.00%,"Oracle, Data, Ethereum"
cheelee,Cheelee,CHEEL,B,51.94,50.75%,41.60%,24.50%,41.67%,87.00%,75.67%,"Entertainment, NFT, Game, BNB Chain"
hashflow,Hashflow,HFT,B,51.92,71.50%,36.67%,34.80%,52.67%,52.07%,63.00%,"DEX, DeFi, Ethereum"
merit-circle,Merit Circle,MC,B,51.86,69.45%,39.47%,44.70%,29.33%,53.40%,71.33%,"GameGuild, DAO, Ethereum"
gnosis,GnosisDAO,GNO,B,51.77,78.25%,46.47%,40.45%,29.33%,65.73%,45.33%,"DEX, Governance, Tools, DeFi, Infrastructure, DAO"
marinade-staked-sol,Marinade Staked SOL,mSOL,B,51.73,62.50%,45.93%,43.20%,58.00%,38.67%,61.33%,"Solana, Synthetics, Staking, DeFi, Liquid Staking Token"
stafi,Stafi,FIS,B,51.52,65.80%,42.13%,39.60%,50.00%,35.47%,75.33%,"Polkadot, Ethereum, Liquid Staking Derivatives (LSD), DeFi"
dao-maker,DAO Maker,DAO,B,51.44,44.85%,39.80%,41.10%,67.33%,48.53%,72.67%,"DeFi, Launchpad, DAO, Ethereum"
bitkub-coin,Bitkub Coin,KUB,B,51.4,51.65%,25.27%,22.40%,63.00%,83.40%,72.27%,"Infrastructure, DeFi, Public Chain"
centrifuge,Centrifuge,CFG,B,51.4,77.75%,33.67%,46.85%,53.00%,48.20%,41.67%,"Polkadot, Public Chain, Ethereum"
xdc-network,XDC Network,XDC,B,51.27,55.65%,40.47%,44.95%,44.67%,36.00%,86.53%,"DeFi, Public Chain, Layer 1, PoS"
chromia,Chromia,CHR,B,51.09,56.50%,51.13%,50.55%,50.00%,43.73%,53.00%,"Ethereum, BNB Chain, Public Chain, NFT, Game"
cartesi,Cartesi,CTSI,B,50.94,73.95%,56.00%,18.85%,55.00%,51.53%,53.33%,"Layer 2, Rollups, Infrastructure, Ethereum"
hive,Hive,HIVE,B,50.93,52.80%,38.93%,34.65%,57.33%,72.00%,54.67%,Public Chain
synapse,Synapse Protocol,SYN,B,50.92,35.40%,50.67%,55.35%,74.33%,24.80%,68.67%,"Ethereum, DeFi, Cross-Chain, Governance"
ssv-network,SSV Network,SSV,B,50.83,44.50%,54.00%,52.75%,60.00%,31.53%,63.67%,"Staking, Ethereum, DeFi, PoS, Liquid Staking Derivatives (LSD)"
vvs-finance,VVS Finance,VVS,B,50.75,54.60%,40.00%,39.00%,34.33%,69.53%,69.67%,"Cronos, DeFi, AMM, DEX, Ethereum, Governance"
nucypher,NuCypher,NU,B,50.57,70.45%,39.53%,26.75%,77.00%,40.33%,50.67%,"Privacy, Infrastructure, Ethereum"
origintrail,OriginTrail,TRAC,B,50.53,76.70%,38.67%,33.35%,47.33%,51.80%,52.33%,"Data, Infrastructure"
ankreth,Ankr Staked ETH,ANKRETH,B,50.37,66.65%,31.07%,41.25%,63.00%,43.20%,54.67%,"Ethereum, Staking, DeFi, Liquid Staking Derivatives (LSD)"
venus,Venus,XVS,B,50.37,46.70%,44.73%,41.85%,38.67%,92.00%,42.33%,"BNB Chain, Lending, DeFi, Governance"
my-neighbor-alice,My Neighbor Alice,ALICE,B,50.23,51.50%,58.53%,37.10%,52.67%,42.20%,63.33%,"NFT, Game, Ethereum, BNB Chain, Metaverse"
polymesh,Polymesh,POLYX,B,50.19,67.45%,48.73%,35.10%,61.67%,33.80%,53.67%,Public Chain
agoric,Agoric,BLD,B,50.07,58.25%,29.20%,21.85%,74.87%,37.93%,85.00%,"DeFi, Public Chain, Cosmos"
just,JUST,JST,B,50.06,54.75%,46.87%,42.65%,46.33%,62.33%,48.33%,"Tron, DeFi, Lending, Governance, Stablecoins"
ravencoinrvn1,Ravencoin,RVN,B,50.02,62.25%,47.73%,24.55%,54.00%,69.33%,46.67%,"Mining, Public Chain, Privacy, PoW"
rsk-infrastructure-framework,RSK Infrastructure Framework,RIF,B,50.02,47.45%,42.07%,22.95%,76.53%,63.33%,57.67%,"Infrastructure, Payment, Public Chain"
camelot-token,Camelot Token,GRAIL,B,50.02,49.70%,38.73%,48.25%,52.00%,52.47%,59.67%,"Arbitrum, DEX, DeFi, AMM"
stargaze,Stargaze,STARS,B,49.99,56.55%,32.07%,41.70%,42.00%,61.53%,66.67%,"Cosmos, NFT, Marketplace, Layer 1"
ecomi,ECOMI,OMI,B,49.84,49.50%,33.73%,32.60%,72.00%,49.07%,68.00%,"NFT, PFP, Ethereum"
nym,NYM,NYM,B,49.82,51.80%,43.87%,30.30%,80.33%,45.13%,53.33%,"Public Chain, Data, Privacy, Ethereum"
akash-networkakt,Akash Network,AKT,B,49.71,48.05%,44.40%,51.20%,53.67%,35.00%,66.00%,"Storage, Cosmos, Public Chain, Cloud Computing, Infrastructure"
radio-caca,Radio Caca,RACA,B,49.7,55.40%,46.40%,38.05%,26.67%,63.33%,70.33%,"NFT, Game, BNB Chain, Metaverse, Marketplace"
space-id,SPACE ID,ID,B,49.65,60.25%,52.27%,36.55%,42.00%,42.33%,65.33%,"BNB Chain, Arbitrum, Web3"
highstreet,Highstreet,HIGH,B,49.49,65.30%,43.13%,25.60%,61.33%,44.93%,59.33%,"Game, Metaverse, Ethereum, BNB Chain, AI"
okexchain,OKC,OKT,B,49.34,41.45%,30.67%,40.75%,66.33%,64.67%,57.67%,"Public Chain, OKX"
iexec,iExec,RLC,B,49.21,66.55%,43.13%,36.05%,48.67%,44.80%,54.67%,"Cloud Computing, Marketplace"
everipedia,IQ.wiki,IQ,B,49.17,63.30%,56.13%,28.65%,51.33%,40.07%,57.67%,"Ethereum, EOS, Polygon, DeFi, Social"
olympus,Olympus,OHM,B,49.12,72.30%,37.07%,39.85%,26.00%,64.33%,50.53%,"DeFi, Ethereum, DAO, Governance"
mobox,MOBOX,MBOX,B,49.02,53.35%,39.73%,50.70%,51.33%,35.00%,62.00%,"BNB Chain, Game, NFT, DeFi, Infrastructure"
holo,Holo,HOT,B,48.98,74.10%,50.87%,22.50%,23.33%,54.53%,69.00%,"Public Chain, Storage, Ethereum, Data"
polymath,Polymath,POLY,B,48.92,70.25%,38.53%,33.60%,68.67%,42.80%,37.67%,"Marketplace, Fund Raising, Ethereum"
apenft,APENFT,NFT,B,48.9,59.15%,46.33%,51.35%,16.67%,63.33%,52.33%,"NFT, Tron, Marketplace"
stepn,STEPN,GMT,B,48.79,51.90%,54.27%,45.45%,36.33%,47.20%,57.67%,"Solana, BNB Chain, Game, Sports, Web3"
gearbox,Gearbox Protocol,GEAR,B,48.36,73.50%,35.60%,40.30%,31.33%,35.07%,68.67%,"Ethereum, DeFi, Derivatives, Governance"
steem,Steem,STEEM,B,48.32,64.20%,40.73%,26.85%,52.00%,66.67%,41.33%,"Social, Public Chain"
siacoin,Siacoin,SC,B,48.26,62.00%,57.00%,18.80%,43.67%,62.33%,51.00%,"PoW, Mining, Public Chain"
deri-protocol,Deri Protocol,DERI,B,48.23,69.00%,42.33%,38.70%,43.53%,36.07%,56.00%,"Derivatives, DEX, AMM"
kujira,Kujira,KUJI,B,47.98,53.20%,29.20%,41.80%,32.00%,60.33%,71.67%,"Layer 1, Cosmos, PoS"
alpha-finance,Stella (previously Alpha Venture DAO),ALPHA,B,47.98,61.10%,53.07%,32.45%,61.67%,37.07%,43.33%,"Lending, Launchpad, Ethereum, DeFi"
firmachain,FirmaChain,FCT,B,47.95,62.05%,34.00%,35.35%,44.33%,38.47%,73.00%,"Data, Cosmos, Ethereum"
x2y2,X2Y2,X2Y2,B,47.74,40.20%,36.67%,36.45%,40.33%,72.40%,66.67%,"NFT, Marketplace, Ethereum, NFT MarketPlace"
hooked-protocol,Hooked Protocol,HOOK,B,47.63,29.95%,44.00%,30.50%,60.07%,64.67%,68.20%,"Game, Social, BNB Chain"
lisk,Lisk,LSK,CCC,47.58,66.85%,46.00%,24.40%,50.20%,43.33%,56.00%,"Public Chain, Layer 1, Web3, Wallet"
safemoon-v2,SafeMoon V2,SFM,CCC,47.57,45.00%,33.87%,44.70%,38.33%,60.00%,65.33%,"DeFi, NFT, BNB Chain, Wallet"
dusk-network,Dusk,DUSK,CCC,47.52,62.20%,56.40%,32.30%,51.33%,45.07%,38.00%,"Privacy, Public Chain, BNB Chain, Ethereum"
function-x,Function X,FX,CCC,47.5,38.60%,38.33%,34.50%,62.67%,49.87%,68.33%,"Ethereum, Public Chain, Exchanges, Wallet, DeFi"
flamingo,Flamingo,FLM,CCC,47.29,59.25%,49.33%,24.70%,37.33%,49.33%,67.33%,"Neo, DeFi, Governance"
constellation-network,Constellation Network,DAG,CCC,47.26,52.50%,33.87%,30.15%,65.00%,33.67%,72.33%,"Public Chain, DeFi, Payment"
sudoswap,Sudoswap,SUDO,CCC,47.24,58.40%,26.93%,38.25%,52.00%,48.80%,58.33%,"Ethereum, DeFi, NFT, AMM, DEX, NFT MarketPlace"
bitcoin-svbsv,Bitcoin SV,BSV,CCC,47.15,62.50%,57.47%,20.90%,47.00%,60.67%,38.00%,"Fork, PoW, Bitcoin, Public Chain"
numeraire,Numerai,NMR,CCC,47.08,70.20%,47.20%,21.80%,66.33%,52.67%,25.00%,"Data, Ethereum, Fund, AI"
stakewise,StakeWise,SWISE,CCC,47.03,74.45%,33.67%,30.60%,48.00%,34.13%,57.67%,"Ethereum, Staking, Liquid Staking Derivatives (LSD)"
alethea-artificial-liquid-intelligence-token,Alethea AI,ALI,CCC,47.01,58.15%,39.13%,35.50%,55.67%,46.40%,47.33%,"NFT, Ethereum, Metaverse, Cronos, AI"
vela-token,Vela Token,VELA,CCC,46.99,46.75%,38.20%,28.80%,37.67%,65.67%,71.00%,"Arbitrum, DEX, DeFi, Derivatives"
ethereum-pow-fork-iou,Ethereum (Proof of Work),ETHW,CCC,46.95,44.15%,47.73%,29.05%,50.67%,61.33%,55.67%,"PoW, Layer 1"
wemix-token,WEMIX,WEMIX,CCC,46.86,31.20%,39.40%,32.30%,61.53%,65.47%,61.33%,"Game, Infrastructure, NFT, Wallet, Public Chain"
seth2,sETH2,SETH2,CCC,46.81,74.45%,26.93%,29.60%,48.00%,40.73%,57.67%,"Ethereum, DeFi, Staking"
bifrost2,Bifrost ,BFC,CCC,46.68,49.55%,37.00%,29.55%,51.33%,60.07%,57.33%,"DeFi, Staking, Polkadot, Liquid Staking Derivatives (LSD)"
tokamak-network,Tokamak Network,TON,CCC,46.66,63.75%,29.67%,20.45%,62.00%,43.80%,63.33%,"Layer 2, Ethereum, Infrastructure"
convex-crv,Convex CRV,cvxCRV,CCC,46.63,73.65%,24.73%,46.75%,21.33%,40.60%,63.67%,"Ethereum, DeFi, Curve, Staking, Liquid Staking Token"
superrare,SuperRare,RARE,CCC,46.61,63.25%,40.40%,33.95%,64.00%,39.40%,37.33%,"NFT, Marketplace, Ethereum, DAO, NFT MarketPlace"
lukso,LUKSO,LYXE,CCC,46.56,44.60%,34.07%,26.15%,71.00%,73.33%,37.67%,Public Chain
orbs-network,Orbs Network,ORBS,CCC,46.42,54.85%,51.93%,39.35%,46.00%,46.60%,39.33%,"Public Chain, Infrastructure"
qidao,QiDao,QI,CCC,46.39,47.80%,30.87%,34.80%,30.33%,86.27%,51.67%,"Polygon, DeFi, Lending, Governance"
smooth-love-potion,Smooth Love Potion,SLP,CCC,46.36,57.95%,59.07%,14.05%,48.67%,50.33%,55.00%,"Ethereum, Game, NFT"
efinity,Efinity,EFI,CCC,46.32,38.75%,34.20%,44.10%,66.00%,52.13%,46.00%,"Polkadot, NFT, Ethereum, Marketplace, Cross-Chain"
mango-markets,Mango Markets,MNGO,CCC,46.18,55.15%,35.07%,40.70%,32.00%,69.00%,44.00%,"Solana, DEX, Derivatives, DeFi"
tether-gold,Tether Gold,XAUT,CCC,46.08,46.60%,31.93%,40.85%,64.33%,36.00%,58.33%,"Stablecoins, Tether"
juno,Juno,JUNO,CCC,45.99,38.70%,34.73%,50.20%,36.33%,69.33%,47.67%,"Cosmos, Layer 1, PoS"
access-protocol,Access Protocol,ACS,CCC,45.79,45.15%,36.13%,42.30%,50.33%,45.20%,57.00%,"Web3, Traditional Industry, Solana"
amo-coin,AMO,AMO,CCC,45.73,54.95%,32.00%,15.25%,62.00%,43.93%,73.33%,"Public Chain, Data, Traditional Industry"
carry,Carry,CRE,CCC,45.72,56.95%,28.60%,24.10%,71.33%,44.80%,52.00%,"Traditional Industry, Ethereum"
euler,Euler,EUL,CCC,45.52,53.35%,35.47%,40.05%,44.00%,39.47%,60.00%,"Ethereum, Lending, DeFi, Governance"
apollox,ApolloX,APX,CCC,45.49,25.90%,27.07%,23.25%,43.00%,95.00%,72.67%,"Exchanges, DEX, Derivatives, BNB Chain, Governance"
binance-usd,Binance USD,BUSD,CCC,45.4,42.55%,47.00%,14.70%,72.00%,40.67%,66.67%,"Stablecoins, BNB Chain, Binance"
berry,Berry,BERRY,CCC,45.33,56.40%,42.00%,35.45%,41.87%,30.33%,65.53%,"Traditional Industry, Social, Web3"
everscale,Everscale,EVER,CCC,45.24,56.30%,43.47%,32.30%,42.33%,43.33%,54.33%,Public Chain
omg-network,OMG Network,OMG,CCC,45.21,50.35%,63.00%,9.35%,72.67%,56.80%,29.33%,"Layer 2, Payment, Staking, Ethereum, Public Chain, Governance"
moonbeam,Moonbeam,GLMR,CCC,45.19,55.05%,48.53%,30.25%,46.00%,36.67%,56.33%,"Polkadot, Public Chain, Moonbeam"
amp,Amp,AMP,CCC,45.18,48.60%,45.80%,31.20%,68.00%,44.33%,36.67%,"Payment, Ethereum"
